fact_id,feature_name,canonical_feature_entity,feature_entity_type,feature_description,relation_raw,relation_canonical,relation_polarity,event_summary,event_instance_id,event_instance_label,event_entity_type,article_key,article_url,article_title,article_source,article_date,evidence_text,judge_verdict,judge_reasoning,quote_similarity,provenance_confidence,source_confidence,extraction_confidence,event_start_date,event_end_date,time_source,temporal_granularity,temporal_confidence
FACT_000000,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,decreases,-1,foreign currency crisis and devaluation,EVENT__foreign_currency_crisis_and_devaluation__2023-01-01,foreign currency crisis and devaluation,EventInstance,https://www.bssnews.net/business/102891,https://www.bssnews.net/business/102891,DCCI for PPP to manage sustainable economic recovery | Business,Bangladesh Sangbad Sangstha (BSS),2023-01-01,"resulting in some negative impact on the import of energy, industrial raw materials and supply chain",CONFIRMED,"The article states that the foreign currency crisis and Taka devaluation led to a negative impact on imports of energy and industrial raw materials. This explicitly establishes causality and discusses effects at a national industry level, consistent with a country-level scope.",1.0,0.85,0.85,0.85,2023-01-01,2023-01-01,publication_date_fallback,day,low
FACT_000001,balance_of_trade,Balance_Of_Trade,MacroVariable,The difference between country-wide imports and exports.,contributed to growth,affects,0,strong net exports,EVENT__strong_net_exports__2023-07-19,strong net exports,EventInstance,https://www.bssnews.net/news/137135,https://www.bssnews.net/news/137135,Bangladesh GDP growth higher than forecast for fiscal 2023: ADB | News,Bangladesh Sangbad Sangstha (BSS),2023-07-19,"The Manila-based lending agency also attributed Bangladesh's higher estimate of 6.0 percent for FY2023, which ended on 30 June, to strong net exports and supportive policies.",CONFIRMED,"The exact quote appears and explicitly attributes higher GDP growth to strong net exports, indicating causality. It refers to Bangladesh at the country level, matching the balance_of_trade scope.",1.0,0.85,0.85,0.85,2023-07-19,2023-07-19,publication_date_fallback,day,low
FACT_000002,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",disrupts imports,disrupts,-1,War disrupts supply chains,EVENT__war_disrupts_supply_chains__2023-02-05,War disrupts supply chains,EventInstance,https://www.dailymirror.lk/opinion/Energy-companies-should-share-their-profits-with-badly-affected-countries-Bangladeshi-Foreign-Minister-Dr-A-K-Abdul-Momen/231-253586,https://www.dailymirror.lk/opinion/Energy-companies-should-share-their-profits-with-badly-affected-countries-Bangladeshi-Foreign-Minister-Dr-A-K-Abdul-Momen/231-253586,""" Energy companies should share their profits with badly affected countries."" - Bangladeshi Foreign Minister Dr. A. K. Abdul Momen - Opinion | Daily Mirror",Daily Mirror,2023-02-05,The war and sanctions have disrupted supply chains as well as financial transaction mechanisms.,CONFIRMED,"The article states the war and sanctions disrupted supply chains and financial transactions, and specifically adds that Bangladesh’s purchases of food items (e.g., edible oil from Ukraine) have been disrupted. This explicitly connects the war-induced disruptions to country-level imports.",1.0,0.85,0.85,0.85,2023-02-05,2023-02-05,publication_date_fallback,day,low
FACT_000003,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",halts purchases,affects,0,refuse purchases under sanctions,EVENT__refuse_purchases_under_sanctions__2023-05-14,refuse purchases under sanctions,EventInstance,https://www.bssnews.net/news/pm/125186,https://www.bssnews.net/news/pm/125186,PM calls upon engineers to uphold country's development spree | PM,Bangladesh Sangbad Sangstha (BSS),2023-05-14,Prime Minister Sheikh Hasina said Bangladesh will not purchase anything from any country if it imposes sanctions.,CONFIRMED,"The exact quote appears and explicitly states that if a country imposes sanctions, Bangladesh will not purchase anything from it, implying halted imports from those countries at the national level.",1.0,0.85,0.85,0.85,2023-05-14,2023-05-14,publication_date_fallback,day,low
FACT_000004,currency_log_return,Currency_Exchange_Rate,MacroVariable,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",increases import buying price,increases,1,depreciation raises buying price,EVENT__depreciation_raises_buying_price__2023-06-07,depreciation raises buying price,EventInstance,https://asianews.network/high-inflation-and-power-crisis-pm-hasina-asks-ministries-to-find-a-way-out/,https://asianews.network/high-inflation-and-power-crisis-pm-hasina-asks-ministries-to-find-a-way-out/,High inflation and power crisis: PM Hasina asks ministries to find a way out,ANN,2023-06-07,"""That's why our actual buying price is more than whatever the price is in the international market.""",CONFIRMED,"The quoted sentence appears verbatim and is directly tied to the taka losing value against the dollar, explicitly stating this causes Bangladesh’s actual buying price to exceed international prices, which matches the country-level scope.",0.99,0.8455,0.8455,0.8455,2023-06-07,2023-06-07,publication_date_fallback,day,low
FACT_000005,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",restricts imports,affects,0,dollar crunch limits LCs,EVENT__dollar_crunch_limits_lcs__2023-06-14,dollar crunch limits LCs,EventInstance,https://asianews.network/power-crisis-perils-of-pursuing-the-old-dangerous-path/,https://asianews.network/power-crisis-perils-of-pursuing-the-old-dangerous-path/,Power crisis: Perils of pursuing the old dangerous path,ANN,2023-06-14,"the dollar crunch, which has made it difficult to open letters of credit (LCs) to import fuel and coal.",CONFIRMED,The article explicitly states that the dollar crunch has made it difficult to open LCs to import fuel and coal. This clearly links the dollar crunch to restricted imports at a national/power-sector level.,1.0,0.85,0.85,0.85,2023-06-14,2023-06-14,publication_date_fallback,day,low
FACT_000006,currency_log_return,Currency_Exchange_Rate,MacroVariable,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",aggravates currency crisis,affects,0,power sector aggravates dollar,EVENT__power_sector_aggravates_dollar__2023-06-14,power sector aggravates dollar,EventInstance,https://asianews.network/power-crisis-perils-of-pursuing-the-old-dangerous-path/,https://asianews.network/power-crisis-perils-of-pursuing-the-old-dangerous-path/,Power crisis: Perils of pursuing the old dangerous path,ANN,2023-06-14,energy and power sectors becoming a huge burden on the economy and aggravating the dollar crisis.,CONFIRMED,"The article explicitly states that the energy and power sectors are 'aggravating the dollar crisis,' and the exact quote appears. This is discussed at Bangladesh’s national level, matching the country-level exchange-rate scope.",1.0,0.85,0.85,0.85,2023-06-14,2023-06-14,publication_date_fallback,day,low
FACT_000007,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,decreases,-1,currency crisis hampers imports,EVENT__currency_crisis_hampers_imports__2023-01-02,currency crisis hampers imports,EventInstance,https://thefinancialexpress.com.bd/trade/dcci-pushes-to-ensure-smooth-energy-supply-improve-ease-of-doing-business-in-2023-1672628067,https://thefinancialexpress.com.bd/trade/dcci-pushes-to-ensure-smooth-energy-supply-improve-ease-of-doing-business-in-2023-1672628067,"DCCI pushes to ensure smooth energy supply, improve ease of doing business in 2023",The Financial Express,2023-01-02,"resulting in some negative impact on the import of energy, industrial raw materials and supply chain for local export-oriented industries.",CONFIRMED,"The article states that the foreign currency crisis and Taka devaluation resulted in negative impacts on imports of energy and industrial raw materials, explicitly indicating causality at a national scope. The provided quote closely matches the article’s wording.",1.0,0.85,0.85,0.85,2023-01-02,2023-01-02,publication_date_fallback,day,low
FACT_000008,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",commits to import,affects,0,LNG import agreement signed,EVENT__lng_import_agreement_signed__2023-06-19,LNG import agreement signed,EventInstance,https://www.bssnews.net/business/132184,https://www.bssnews.net/business/132184,Bangladesh inks deal to import LNG from Oman | Business,Bangladesh Sangbad Sangstha (BSS),2023-06-19,Bangladesh has signed an agreement with Omar to import 0.25 to 1.5 million metric tonnes (MMT) of LNG from Oman's OQ Trading on G-to-G basis for ten-year term from 2026.,CONFIRMED,"The article explicitly states Bangladesh signed an agreement to import specified LNG volumes, directly linking the signing to a commitment to import at a national (G-to-G) level.",1.0,0.85,0.85,0.85,2023-06-19,2023-06-19,publication_date_fallback,day,low
FACT_000009,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases imports,increases,1,Government measures increased imports,EVENT__government_measures_increased_imports__2023-02-24,Government measures increased imports,EventInstance,https://www.bssnews.net/news-flash/112237,https://www.bssnews.net/news-flash/112237,"Stocks sufficient, no shortage of essential commodities in Ramadan | News Flash",Bangladesh Sangbad Sangstha (BSS),2023-02-24,timely measures of the government have helped increase the imports of consumer goods significantly stabilizing the market with sufficient supply.,CONFIRMED,"The article explicitly states that government measures helped increase imports of consumer goods, and the provided quote appears verbatim. The discussion is at the country level, matching the scope.",1.0,0.85,0.85,0.85,2023-02-24,2023-02-24,publication_date_fallback,day,low
FACT_000010,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces import pressure,decreases,-1,call for import substitution,EVENT__call_for_import_substitution__2023-06-07,call for import substitution,EventInstance,https://www.bssnews.net/business/129745,https://www.bssnews.net/business/129745,FBCCI president urges govt to extend support to import-substitute industries | Business,Bangladesh Sangbad Sangstha (BSS),2023-06-07,extend policy support towards import-substitute industries in the country to lessen import pressure on foreign exchange.,CONFIRMED,"The article explicitly states that extending policy support to import-substitute industries is intended 'to lessen import pressure on foreign exchange,' and this is discussed at the national level for Bangladesh.",1.0,0.85,0.85,0.85,2023-06-07,2023-06-07,publication_date_fallback,day,low
FACT_000011,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",disrupts import flows,disrupts,-1,imports disrupted by crisis,EVENT__imports_disrupted_by_crisis__2023-06-04,imports disrupted by crisis,EventInstance,https://en.prothomalo.com/business/local/1q4bvruzz4,https://en.prothomalo.com/business/local/1q4bvruzz4,"Global prices fall, no  impact on local market woes",Prothomalo,2023-06-04,disruption of imports due to the crisis,CONFIRMED,"The article explicitly states there is a 'disruption of imports due to the crisis,' directly indicating the crisis causes import disruptions at the national level.",1.0,0.85,0.85,0.85,2023-06-04,2023-06-04,publication_date_fallback,day,low
FACT_000012,currency_log_return,Currency_Exchange_Rate,MacroVariable,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",drives up import costs,increases,1,taka depreciation raises import costs,EVENT__taka_depreciation_raises_import_costs__2023-06-05,taka depreciation raises import costs,EventInstance,https://www.malaymail.com/news/money/2023/06/05/cash-strapped-bangladesh-shuts-power-plant-as-heatwave-hits/72714,https://www.malaymail.com/news/money/2023/06/05/cash-strapped-bangladesh-shuts-power-plant-as-heatwave-hits/72714,Cash-strapped Bangladesh shuts power plant as heatwave hits,Malay Mail,2023-06-05,"The Bangladeshi taka depreciated about 25 per cent against the US dollar last year, driving up the cost of fuel imports and power utilities.",CONFIRMED,"The article explicitly states that the Bangladeshi taka depreciated about 25% last year, driving up the cost of fuel imports and power utilities, at a national level. This directly supports the causal link between currency depreciation and increased import costs.",0.993,0.8468,0.8468,0.8468,2023-06-05,2023-06-05,publication_date_fallback,day,low
FACT_000013,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",enables import,affects,0,LC allowed -> import,EVENT__lc_allowed_import__2023-02-15,LC allowed -> import,EventInstance,https://weeklyvoice.com/indo-bangla-joint-venture-rampal-plant-to-resume-power-production-from-wednesday/,https://weeklyvoice.com/indo-bangla-joint-venture-rampal-plant-to-resume-power-production-from-wednesday/,Indo-Bangla joint venture Rampal plant to resume power production from Wednesday - Weekly Voice,Weekly Voice,2023-02-15,The authorities of the power plant were unable to open any letter of credit (LC) to import coal due to the dollar crisis.,CONFIRMED,"The article explicitly states that due to the dollar crisis, the power plant authorities were unable to open LCs to import coal. This directly links the dollar crisis to preventing LC opening for imports at the plant level.",1.0,0.85,0.85,0.85,2023-02-15,2023-02-15,publication_date_fallback,day,low
FACT_000014,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",prevents LC opening,affects,0,dollar crisis blocked LC,EVENT__dollar_crisis_blocked_lc__2023-02-15,dollar crisis blocked LC,EventInstance,https://weeklyvoice.com/indo-bangla-joint-venture-rampal-plant-to-resume-power-production-from-wednesday/,https://weeklyvoice.com/indo-bangla-joint-venture-rampal-plant-to-resume-power-production-from-wednesday/,Indo-Bangla joint venture Rampal plant to resume power production from Wednesday - Weekly Voice,Weekly Voice,2023-02-15,The authorities of the power plant were unable to open any letter of credit (LC) to import coal due to the dollar crisis.,CONFIRMED,"The article explicitly states that due to the dollar crisis, the power plant authorities were unable to open LCs to import coal. This directly links the dollar crisis to preventing LC opening for imports at the plant level.",1.0,0.85,0.85,0.85,2023-02-15,2023-02-15,publication_date_fallback,day,low
FACT_000015,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",accelerates energy imports,affects,0,draft plan accelerates imports,EVENT__draft_plan_accelerates_imports__2023-04-06,draft plan accelerates imports,EventInstance,https://www.naturalgasworld.com/bangladeshs-energy-plan-faces-gas-dilemma-as-fuel-crisis-bites-104564,https://www.naturalgasworld.com/bangladeshs-energy-plan-faces-gas-dilemma-as-fuel-crisis-bites-104564,Bangladesh's energy plan faces gas dilemma as fuel crisis bites,Natural Gas World,2023-04-06,"domestic fuel sources are insufficient to meet Bangladesh's needs for power, transport and residential use, making more LNG imports necessary.",CONFIRMED,"The article includes the exact quote stating that domestic fuel insufficiency makes more LNG imports necessary, explicitly establishing causality at the national (Bangladesh) level.",1.0,0.85,0.85,0.85,2023-04-06,2023-04-06,publication_date_fallback,day,low
FACT_000016,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",necessitates LNG imports,affects,0,domestic fuel insufficiency,EVENT__domestic_fuel_insufficiency__2023-04-06,domestic fuel insufficiency,EventInstance,https://www.naturalgasworld.com/bangladeshs-energy-plan-faces-gas-dilemma-as-fuel-crisis-bites-104564,https://www.naturalgasworld.com/bangladeshs-energy-plan-faces-gas-dilemma-as-fuel-crisis-bites-104564,Bangladesh's energy plan faces gas dilemma as fuel crisis bites,Natural Gas World,2023-04-06,"domestic fuel sources are insufficient to meet Bangladesh's needs for power, transport and residential use, making more LNG imports necessary.",CONFIRMED,"The article includes the exact quote stating that domestic fuel insufficiency makes more LNG imports necessary, explicitly establishing causality at the national (Bangladesh) level.",1.0,0.85,0.85,0.85,2023-04-06,2023-04-06,publication_date_fallback,day,low
FACT_000017,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",discourages imports,affects,0,reserves fall curbs imports,EVENT__reserves_fall_curbs_imports__2023-05-16,reserves fall curbs imports,EventInstance,https://www.latestly.com/agency-news/world-news-bangladesh-government-should-think-twice-before-trading-in-chinese-currency-report-5130517.html,https://www.latestly.com/agency-news/world-news-bangladesh-government-should-think-twice-before-trading-in-chinese-currency-report-5130517.html,World News | Bangladesh Government Should Think Twice Before Trading in Chinese Currency: Report | LatestLY,LatestLY,2023-05-16,"This has compelled the government to discourage unnecessary imports and cut spending,",CONFIRMED,"The article states, “This has compelled the government to discourage unnecessary imports and cut spending,” immediately after detailing the sharp fall in foreign exchange reserves. This explicitly links the reserve decline to a national policy to curb imports, matching the country-level scope.",1.0,0.85,0.85,0.85,2023-05-16,2023-05-16,publication_date_fallback,day,low
FACT_000018,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases imports,increases,1,government measures increased imports,EVENT__government_measures_increased_imports__2023-02-24,government measures increased imports,EventInstance,https://www.bssnews.net/news-flash/112237,https://www.bssnews.net/news-flash/112237,"Stocks sufficient, no shortage of essential commodities in Ramadan | News Flash",Bangladesh Sangbad Sangstha (BSS),2023-02-24,timely measures of the government have helped increase the imports of consumer goods significantly stabilizing the market with sufficient supply.,CONFIRMED,"The article states that government’s timely measures “have helped increase the imports of consumer goods,” explicitly linking the measures to higher imports at a country level. This directly supports the claimed causal relationship.",1.0,0.85,0.85,0.85,2023-02-24,2023-02-24,publication_date_fallback,day,low
FACT_000019,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",discourages import,affects,0,higher regulatory duties,EVENT__higher_regulatory_duties__2023-06-01,higher regulatory duties,EventInstance,https://www.bssnews.net/business/128643,https://www.bssnews.net/business/128643,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,Bangladesh Sangbad Sangstha (BSS),2023-06-01,reduction of duty on container import to encourage import and export container business.,CONFIRMED,"The article explicitly states a reduction of duty on container import 'to encourage import and export container business.' This is a clear causal link, and it concerns national-level container imports, which fits within the broader scope of imports.",0.994,0.8473,0.8473,0.8473,2023-06-01,2023-06-01,publication_date_fallback,day,low
FACT_000020,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",encourages container import,affects,0,container duty reduction,EVENT__container_duty_reduction__2023-06-01,container duty reduction,EventInstance,https://www.bssnews.net/business/128643,https://www.bssnews.net/business/128643,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,Bangladesh Sangbad Sangstha (BSS),2023-06-01,reduction of duty on container import to encourage import and export container business.,CONFIRMED,"The article explicitly states a reduction of duty on container import 'to encourage import and export container business.' This is a clear causal link, and it concerns national-level container imports, which fits within the broader scope of imports.",0.994,0.8473,0.8473,0.8473,2023-06-01,2023-06-01,publication_date_fallback,day,low
FACT_000021,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",negatively impacts imports,affects,0,currency crisis reduces imports,EVENT__currency_crisis_reduces_imports__2023-01-01,currency crisis reduces imports,EventInstance,https://www.bssnews.net/business/102891,https://www.bssnews.net/business/102891,DCCI for PPP to manage sustainable economic recovery | Business,Bangladesh Sangbad Sangstha (BSS),2023-01-01,"resulting in some negative impact on the import of energy, industrial raw materials and supply chain for local export-oriented industries.",CONFIRMED,"The article states that the ongoing foreign currency crisis and Taka devaluation have challenged the financial sector, resulting in negative impact on imports of energy and industrial raw materials. This explicitly links the currency crisis to negative effects on imports at the national level.",1.0,0.85,0.85,0.85,2023-01-01,2023-01-01,publication_date_fallback,day,low
FACT_000022,balance_of_trade,Balance_Of_Trade,MacroVariable,The difference between country-wide imports and exports.,cuts exports,decreases,-1,production disruptions reduce exports,EVENT__production_disruptions_reduce_exports__2023-06-06,production disruptions reduce exports,EventInstance,https://www.asianews.it/news-en/Power-outages-threaten-lives-and-production-58532.html,https://www.asianews.it/news-en/Power-outages-threaten-lives-and-production-58532.html,BANGLADESH Power outages threaten lives and production,Asia News.it,2023-06-06,"disruptions in production will cut into exports,",CONFIRMED,"The article explicitly states that industry officials fear disruptions in production will cut into exports. It discusses widespread disruptions across most factories and main manufacturing regions in Bangladesh, indicating a country-level impact on exports relevant to the balance of trade.",0.989,0.845,0.845,0.845,2023-06-06,2023-06-06,publication_date_fallback,day,low
FACT_000023,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",discourages imports,affects,0,62% import tariff,EVENT__62_import_tariff__2023-07-14,62% import tariff,EventInstance,https://asianews.network/potential-indian-rice-export-ban-domestic-market-may-not-be-affected/,https://asianews.network/potential-indian-rice-export-ban-domestic-market-may-not-be-affected/,Potential Indian rice export ban: Domestic market may not be affected,ANN,2023-07-14,"At this rate, none will import rice as imported rice will not be competitive at this tariff,",CONFIRMED,"The article includes the exact quote linking a 62% import tariff to the lack of imports, explicitly stating that at this rate none will import rice because it won’t be competitive. This is presented in a national context about Bangladesh’s rice imports.",0.995,0.8478,0.8478,0.8478,2023-07-14,2023-07-14,publication_date_fallback,day,low
FACT_000024,balance_of_trade,Balance_Of_Trade,MacroVariable,The difference between country-wide imports and exports.,strengthens balance_of_trade,affects,0,imports fell sharply,EVENT__imports_fell_sharply__2023-07-19,imports fell sharply,EventInstance,https://english.news.cn/20230719/6fb9a572e3b141e3a82293b533eae2e8/c.html,https://english.news.cn/20230719/6fb9a572e3b141e3a82293b533eae2e8/c.html,ADB raises Bangladesh's economic growth forecast,english.news.cn,2023-07-19,"reflects strong net exports as imports fell more sharply than expected and export growth slowed less than expected,""",CONFIRMED,"The quoted sentence appears verbatim and explicitly links sharper import declines (and steadier exports) to “strong net exports,” which corresponds to a strengthened balance of trade at the national level for Bangladesh.",0.991,0.8459,0.8459,0.8459,2023-07-19,2023-07-19,publication_date_fallback,day,low
FACT_000025,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",negatively impacts imports,affects,0,currency crisis affecting imports,EVENT__currency_crisis_affecting_imports__2023-01-01,currency crisis affecting imports,EventInstance,https://www.bssnews.net/business/102891,https://www.bssnews.net/business/102891,DCCI for PPP to manage sustainable economic recovery | Business,Bangladesh Sangbad Sangstha (BSS),2023-01-01,"resulting in some negative impact on the import of energy, industrial raw materials and supply chain for local export-oriented industries.",CONFIRMED,"The article states that the foreign currency crisis and Taka devaluation resulted in negative impacts on imports of energy and industrial raw materials, explicitly linking the currency crisis to reduced imports at a national level.",1.0,0.85,0.85,0.85,2023-01-01,2023-01-01,publication_date_fallback,day,low
FACT_000026,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases import volume,increases,1,government permission triggered imports,EVENT__government_permission_triggered_imports__2023-07-03,government permission triggered imports,EventInstance,https://www.bssnews.net/news/134281,https://www.bssnews.net/news/134281,1.14 lakh kilograms of green chilli imported on Sunday  | News,Bangladesh Sangbad Sangstha (BSS),2023-07-03,"following the government's permission of importing 36,830 tons to curb steep price hike",CONFIRMED,"The article states that 1.14 lakh kg was imported 'following the government's permission' and notes imports began after permission was granted, indicating permission triggered imports. This is discussed at the national import level via multiple ports.",1.0,0.85,0.85,0.85,2023-07-03,2023-07-03,publication_date_fallback,day,low
FACT_000027,imports,Imports,MacroVariable,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,decreases,-1,banks refuse LCs,EVENT__banks_refuse_lcs__2023-02-23,banks refuse LCs,EventInstance,https://www.aljazeera.com/economy/2023/2/23/severe-dollar-crisis-hobbles-bangladesh-businesses,https://www.aljazeera.com/economy/2023/2/23/severe-dollar-crisis-hobbles-bangladesh-businesses,Severe dollar crisis hobbles Bangladesh businesses,Al Jazeera Online,2023-02-23,This has not only forced banks to refuse new letters of credit applications but also has made their promised payments to foreign suppliers for previous imports uncertain.,CONFIRMED,"The article states importers need letters of credit to buy foreign goods and that banks are refusing new LC applications, which strongly implies reduced imports. It discusses this at the national level, citing a 14% slump in new LCs across Bangladesh.",1.0,0.85,0.85,0.85,2023-02-23,2023-02-23,publication_date_fallback,day,low
FACT_000028,currency_log_return,Currency_Exchange_Rate,MacroVariable,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",drives up import costs,increases,1,Taka depreciation raises costs,EVENT__taka_depreciation_raises_costs__2023-06-05,Taka depreciation raises costs,EventInstance,https://www.malaymail.com/news/money/2023/06/05/cash-strapped-bangladesh-shuts-power-plant-as-heatwave-hits/72714,https://www.malaymail.com/news/money/2023/06/05/cash-strapped-bangladesh-shuts-power-plant-as-heatwave-hits/72714,Cash-strapped Bangladesh shuts power plant as heatwave hits,Malay Mail,2023-06-05,"The Bangladeshi taka depreciated about 25 per cent against the US dollar last year, driving up the cost of fuel imports and power utilities.",CONFIRMED,"The exact quote appears in the article, explicitly stating that the taka’s depreciation drove up the cost of fuel imports and power utilities. This is discussed at the national (country) level, matching the feature’s scope.",1.0,0.85,0.85,0.85,2023-06-05,2023-06-05,publication_date_fallback,day,low
